4,16.05,79,16.17,0,12.1
5,15.81,80,15.92,0,11.9
6,16.73,76,16.56,0,13.1
7,16.83,73,14.31,0,17.9
8,19.14,69,18.92,0,21.3
9,20.56,67,20.96,0,26.4
10,22.22,64,23.24,0,27.5
11,23.7,59,24.77,49,29.5
12,24.2,56,25.14,45,31.8
13,25.06,54,25.46,35,34.3
14,26.48,49,27.12,0,35.6
15,26.98,48,27.35,0,34.9
16,27.6,35,27.23,0,33.6
17,26.73,49,28.07,0,31.6
18,25.25,57,26.96,0,29
19,22.78,70,24.54,0,25.7
20,21.91,80,24.21,0,22.6
21,21.26,84,20.82,0,20.4
22,21.05,87,20.88,0,20.2
23,20.44,92,20.94,0,19.9
0,19.79,95,20.38,0,18.8
1,20.93,85,21.37,0,18.2
2,20.74,85,21.16,0,17.6
3,20.2,78,20.07,2,16.7
4,19.82,84,19.73,4,16.4
5,19.82,82,19.61,2,16.4
6,20.8,87,23.21,1,17.5
7,22.22,79,24.87,1,21.6
8,23.89,72,25.97,1,24.7
9,24.76,67,26.71,46,28.7
10,26.18,62,28.49,98,27.5
11,27.34,57,29.54,99,32
12,27.61,58,30.04,99,34
13,28.64,51,30.91,99,33.1
14,28.08,56,30.45,96,31.9
15,26.74,60,29.05,99,29.6
16,24.44,74,27.28,100,29.1
17,25.31,64,25.47,100,26.4
18,20.31,88,22.59,100,24.1
19,20.56,93,23.65,100,22.7
20,20.25,95,22.11,100,21.8
21,19.69,96,22.62,100,21.1
22,20.19,87,20.97,100,20.2
23,19.35,88,18.66,100,18.8
0,18.02,97,19.12,100,18.8
1,17.16,98,17.84,100,18.4
2,16.6,98,18.38,100,17.6
3,16.36,98,14.79,94,17.1
4,16.05,98,14.94,78,16.9
5,15.18,93,16.15,58,16.3
6,15.8,81,14.24,53,15.4
7,18.09,65,18.22,42,18.4
8,20,55,19.61,34,22.3
9,22.29,46,22.05,35,29.2
10,22.46,36,18.9,18,31.2
11,26.17,36,25.88,0,34
12,27.3,30,26.57,0,36
13,27.47,29,26.65,0,38
14,27.83,25,26.28,0,39.2
15,28.15,28,26.91,0,36.7
16,26.3,39,26.07,0,36.1
17,24.69,41,23.63,0,32.5
18,24.92,36,22.23,0,25.9
19,22.71,47,20.73,3,23.4
20,21.85,59,22.62,8,22.2
21,22.02,66,20.67,27,20.1
22,21.16,66,19.7,84,20
23,21.08,61,19.97,87,18.7
0,20.04,74,21.43,88,18
