13,27.78,35,0,34.5
14,27.78,35,0,34.5
15,28.08,34,0,34.7
16,27.84,35,0,32.7
17,27.35,34,0,31.6
18,25.97,42,0,28.8
19,23.33,59,0,25.2
20,22.46,61,0,22.2
21,21.92,64,0,20.6
22,21.52,66,0,19.5
23,21.38,65,0,19.1
0,20.89,64,0,19.2
1,21.36,68,1,19.3
2,20.87,64,1,19.9
3,20.45,63,1,19.5
4,19.06,77,0,17.7
5,19.26,70,0,17.8
6,19.12,67,0,17.6
7,20.56,69,0,19.9
8,21.73,64,0,22.3
9,21.77,59,0,25.8
10,22.82,53,6,30.4
11,24.32,46,40,31.3
12,25.4,43,62,32.7
13,28.33,38,2,34.8
14,28.08,37,2,36.1
15,28.34,35,1,36.3
16,30.69,28,0,34.5
17,29.71,31,0,33.6
18,28.75,35,0,31.3
19,27.27,40,0,27.6
20,25.45,47,0,24.1
21,24.87,52,0,21.8
22,23.71,59,0,20.1
23,23.86,61,0,20
0,23.64,62,0,20.4
1,23.35,64,0,22.4
2,23.05,66,14,22
3,22.66,68,29,21.7
4,22.78,74,99,21.7
5,22.52,72,90,21.5
6,22.3,70,89,21.2
7,22.76,66,90,23
8,23.66,62,88,23
9,24.1,60,88,24.9
10,25.1,56,100,27.3
11,27.18,48,100,30.5
12,29.38,41,100,34
13,30.48,38,100,35
14,31.3,36,100,36
15,32.04,35,98,29.4
16,26.48,53,51,26.9
17,27.55,51,51,26.4
18,23.28,66,69,24.4
19,22.33,72,65,22.5
20,21.01,78,55,21.1
21,20.24,83,46,20.9
22,20.09,86,80,20
23,19.8,89,90,19.6
0,19.69,95,100,19.6
1,19.6,93,92,19.8
2,19.56,92,81,20
3,19.69,97,100,20.1
4,19.69,97,100,19.8
5,19.98,95,100,19.7
6,20.22,93,100,19.8
7,20.62,91,100,20.2
8,20,97,100,21.8
9,20.86,94,100,22.9
10,21.51,89,100,26.1
11,23.89,82,85,28.7
12,25.05,73,75,32.6
13,25.85,67,69,28.3
14,27.45,60,61,28.9
15,26.98,61,59,32.1
16,26.91,61,56,28.9
17,27.12,60,50,31.2
18,26.99,59,38,29.5
19,25.98,65,29,25.4
20,21.6,94,30,22.9
21,21.31,95,13,21.8
22,22.41,83,0,21.2
23,20.44,97,0,20.6
0,20.19,98,0,19.4
1,20.92,89,0,19.7
2,21.04,85,0,19.6
3,21.11,91,0,19
4,19.31,89,0,19.2
5,19.28,73,0,17.4
6,16.92,64,0,16.7
7,17.4,48,0,17.4
8,19.19,36,0,21.2
9,20.56,30,0,24.4
10,21.43,30,0,27.8
11,21.47,26,0,30.9
12,22.61,22,0,32.4
